DATESH	TIME	BLOCKNUMBER	TRANSACTIONINDEX	FROM	TO	ETHER	GASCOST	PRICE	ISERROR	ARTICULATED
2017-05-23	0:42:39 UTC	3756177	53	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x0f593dcce096c5c39bd509123150707644ad48de	0.000000000000000000	0.000152400000000000	163.500000000000000000	0	0xee9a5432000000000000000000000000000000000000000000000000000000000000000a
2017-05-24	2:34:27 UTC	3757509	7	0x5d32b29befbec9f335be0077ae51476964314774	0xb94c53b0e67fabac3d97173482663ef597d4174a	0.840000000000000000	0.002736090000000000	170.570000000000000000	0	0x
2017-05-24	3:36:41 UTC	3760015	38	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000119730000000000	191.310000000000000000	0	0xede8acdb1bfdad21df1d8d659d50082473dda00e53c30ebd1a02ffe53acfd6561ddb22e1
2017-05-24	3:39:03 UTC	3760029	8	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.050000000000000000	0.000836872000000000	191.310000000000000000	0	0xce92dced557998641315d08edd95fe60c5812134e3b52d7c86da4f68e4ba3c16187c9135
2017-05-24	3:49:08 UTC	3760076	10	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162232000000000	189.780000000000000000	0	0x47872b420be3fe066f0be7b7b09a83a9e93b95308da0d5ec313a1d53ad41aa5145d2e83a000000000000000000000000000000000000000000000000b8fdac5fe7f50000fefa0074811b5627f9f696238f49e68249a1964e9c8ae566ffd84470a0045c84
2017-05-24	3:51:17 UTC	3760085	43	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162360000000000	187.280000000000000000	0	0x47872b423256bbad2d17d9680d3c787f688a79ac34d39e3546b004ef56b2ecdac4d22018000000000000000000000000000000000000000000000000ab1cf5ac409100001e6cc33558f4eac72e4853a21fc158a3188fbef5d0774acef487504743ae94a7
2017-05-24	3:59:36 UTC	3760114	52	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162360000000000	186.900000000000000000	0	0x47872b423fdb9ad0d36771e52c55331fb01965ff0f44c69cfa9c7c821f2fd9cb494b2ffc000000000000000000000000000000000000000000000000acc749097d9d0000c1886bc70567aa632c2b7af37429775a72e43480042f62ce156c756476f4af84
2017-05-24	4:34:35 UTC	3760244	22	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000114884000000000	177.000000000000000000	0	0x47872b42472c9634192e7f3352d0e606f1afc76bebb1e28726540e74a68bfb5a3968673e00000000000000000000000000000000000000000000000135e418b0ca790000a09fe159ee55a92f821112b6184f638fa929c2262c06d3e13693be24e03cd2e5
2017-05-24	4:42:23 UTC	3760268	47	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000162360000000000	182.000000000000000000	0	0x47872b4234f45a4367107dd8c54fe2b3daf2ddaaaa2af2f4297c911ac6c482f3646b33ab0000000000000000000000000000000000000000000000002dcbf4840eca000006cefd170e39fd425d8de08c580aa4d472a7b6ce46dda635e9d526a758470774
2017-05-24	5:12:38 UTC	3760387	31	0x839395e20bbb182fa440d08f850e6c7a8f6f0780	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	0.000000000000000000	0.000169836000000000	182.500000000000000000	0	0x983b94fb40c398d6e1fb1e64fa89a0f2f232df777e9e84f3ef558102d564475b8a404c2f
